step_time,observation
325.0,"[0, 0, 1, 3, 2, 1, 0, 1, 0, 0, 1, 0, 0]"
346.0,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]"
347.0,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]"
348.0,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
349.0,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
350.0,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
351.0,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
352.0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
353.0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
354.0,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
355.0,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
356.0,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
357.0,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
400.0,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
401.0,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
402.0,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
403.0,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
404.0,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
405.0,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0]"
406.0,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0]"
407.0,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0]"
408.0,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0]"
409.0,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0]"
410.0,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 2, 1, 0]"
411.0,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 2, 1, 0]"
412.0,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 2, 1, 0]"
413.0,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0]"
414.0,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]"
415.0,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]"
416.0,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]"
417.0,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0]"
418.0,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 2, 0, 0]"
419.0,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 3, 0, 0]"
420.0,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 3, 0, 0]"
421.0,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 3, 0, 0]"
422.0,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 3, 0, 0]"
423.0,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 3, 0, 0]"
424.0,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 3, 0, 0]"
425.0,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 3, 0, 0]"
426.0,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 2, 0, 0]"
427.0,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 3, 0, 0]"
428.0,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0]"
429.0,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 3, 0, 0]"
430.0,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0]"
431.0,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0]"
432.0,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0]"
433.0,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0]"
434.0,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0]"
435.0,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0]"
436.0,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0]"
437.0,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0]"
438.0,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 2, 0, 0]"
439.0,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0]"
440.0,"[0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 2, 0, 0]"
441.0,"[0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 2, 0, 0]"
442.0,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 2, 0, 0]"
443.0,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0]"
444.0,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0]"
445.0,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0]"
446.0,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0]"
447.0,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0]"
448.0,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0]"
449.0,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0]"
